state_name,state_code,dem_votes_2016,rep_votes_2016,VEP
Alabama,AL,729547,1318255,3601361
Alaska,AK,116454,163387,519849
Arizona,AZ,1161167,1252401,4734313
Arkansas,AR,380494,684872,2142571
California,CA,8753788,4483810,25017408
Colorado,CO,1338870,1202484,3966297
Connecticut,CT,897572,673215,2561555
Delaware,DE,235603,185127,689125
District of Columbia,DC,282830,12723,511463
Florida,FL,4504975,4617886,14572210
Georgia,GA,1877963,2089104,6955436
Hawaii,HI,266891,128847,1016971
Idaho,ID,189765,409055,1167200
Illinois,IL,3090729,2146015,8943045
Indiana,IN,1033126,1557286,4852657
Iowa,IA,653669,800983,2290215
Kansas,KS,427005,671018,2051750
Kentucky,KY,628854,1202971,3276651
Louisiana,LA,780154,1178638,3380951
Maine,ME,357735,335593,1060905
Maryland,MD,1677928,943169,4176484
Massachusetts,MA,1995196,1090893,4947241
Michigan,MI,2268839,2279543,7423233
Minnesota,MN,1367716,1322951,3966155
Mississippi,MS,485131,700714,2176312
Missouri,MO,1071068,1594511,4511812
Montana,MT,177709,279240,804381
Nebraska,NE,284494,495961,1349903
Nevada,NV,539260,512058,1964097
New Hampshire,NH,348526,345790,1042102
New Jersey,NJ,2148278,1601933,6042792
New Mexico,NM,385234,319667,1456551
New York,NY,4547562,2814589,13591250
North Carolina,NC,2189316,2362631,7318442
North Dakota,ND,93758,216794,565031
Ohio,OH,2394164,2841005,8737173
Oklahoma,OK,420375,949136,2773970
Oregon,OR,1002106,782403,3012502
Pennsylvania,PA,2926441,2970733,9701644
Rhode Island,RI,252525,180543,786033
South Carolina,SC,855373,1155389,3706769
South Dakota,SD,117458,227721,632989
Tennessee,TN,870695,1522925,4899384
Texas,TX,3877868,4685047,17396296
Utah,UT,310674,515211,1995987
Vermont,VT,178573,95369,494879
Virginia,VA,1981473,1769443,6027262
Washington,WA,1742718,1221747,5121782
West Virginia,WV,188794,489371,1425962
Wisconsin,WI,1382536,1405284,4288320
Wyoming,WY,55973,174419,428283
U.S. Total,US,65844954,62979879,230585915
